	item_type	clean_name	brand	country	subtype	source_domain	weight	units	price	currency	description	full_description	url	alpha	beta	cohumulon	oils
468	hop	магнум / magnum	грейнруc	россия	хмель в гранулах горький	beer.rf	500.0	г	849.0	rub	немецкий гигант выращенный на юге россии, обеспечивающий чистую горечь и тонкий цитрусовый вкус. в аромате также можно услышать яблоко и перец. альфа 11,1 % | урожай 2025 г немецкий гигант выращенный на юге россии, обеспечивающий чистую горечь и тонкий цитрусовый вкус. в аромате также можно услышать яблоко и перец. альфа 11,1 % | урожай 2025 г		https://бир.рф/shop/1791/desc/khmel-magnum-magnum-rossija-500-g	11.1 %			
470	hop	магнум / magnum	грейнруc	россия	хмель в гранулах горький	beer.rf	50.0	г	119.0	rub	немецкий гигант выращенный на юге россии, обеспечивающий чистую горечь и тонкий цитрусовый вкус. в аромате также можно услышать яблоко и перец. альфа 11,1 % | урожай 2025 г немецкий гигант выращенный на юге россии, обеспечивающий чистую горечь и тонкий цитрусовый вкус. в аромате также можно услышать яблоко и перец. альфа 11,1 % | урожай 2025 г		https://бир.рф/shop/1793/desc/khmel-magnum-magnum-rossija-50-g	11.1 %			
472	hop	магнум / magnum	грейнруc	россия	хмель в гранулах горький	beer.rf	100.0	г	199.0	rub	немецкий гигант выращенный на юге россии, обеспечивающий чистую горечь и тонкий цитрусовый вкус. в аромате также можно услышать яблоко и перец. альфа 11,1 % | урожай 2025 г немецкий гигант выращенный на юге россии, обеспечивающий чистую горечь и тонкий цитрусовый вкус. в аромате также можно услышать яблоко и перец. альфа 11,1 % | урожай 2025 г		https://бир.рф/shop/1792/desc/khmel-magnum-magnum-rossija-100-g	11.1 %			
474	hop	магнум / magnum	ign	германия	хмель в гранулах горький	beer.rf	500.0	г	759.0	rub	горький сорт немецкого хмеля, который, как правило используется для придания фундаментальной горечи в немецких стилях пива. урожай: 2025 г | альфа кислота: 13.1 % горький сорт немецкого хмеля, который, как правило используется для придания фундаментальной горечи в немецких стилях пива. урожай: 2025 г | альфа кислота: 13.1 %	халлертаур магнум (hallertaur magnum) - это хмель, который привлекает внимание своими уникальными характеристиками. этот сорт был разработан в научно-исследовательском институте хмеля, расположенном в немецком городе халле, и сегодня он является вторым по величине производства альфа-сортом в своем регионе. халлертаур магнум, также известный просто как магнум, широко используется в качестве основной компоненты для достижения горечи во многих рецептах пива. в отличие от некоторых других сортов, этот хмель не обладает ярким ароматом. некоторые могут считать это его недостатком, но на самом деле это преимущество, которое позволяет использовать его в начале процесса кипячения, благодаря высокому содержанию альфа-кислоты, которое составляет от 12,0% до 14,0%. благодаря своей высокой концентрации альфа-кислоты, халлертаур магнум придает пиву сильную горечь, которая может быть идеально сбалансирована с другими ингредиентами, такими как солод и дрожжи. это делает его популярным выбором для различных стилей пива, включая ipa (india pale ale), apa (american pale ale) и другие, где горечь играет важную роль. хмель магнум обладает хорошей хранящейся стабильностью, что делает его удобным для использования в коммерческих пивоваренных процессах. его способность сохранять свои качества на протяжении длительного времени позволяет пивоварням производить стабильные и качественные пивные напитки.	https://бир.рф/shop/121/desc/khmel-magnum-magnum-germanija-500-g	11.0-16.0 %	5.0-7.0 %	21.0-29.0 %	1.6-2.6
476	hop	магнум / magnum	ign	германия	хмель в гранулах горький	beer.rf	50.0	г	113.0	rub	горький сорт немецкого хмеля, который, как правило используется для придания фундаментальной горечи в немецких стилях пива. урожай: 2025 г | альфа кислота: 13.1 % горький сорт немецкого хмеля, который, как правило используется для придания фундаментальной горечи в немецких стилях пива. урожай: 2025 г | альфа кислота: 13.1 %	халлертаур магнум (hallertaur magnum) - это хмель, который привлекает внимание своими уникальными характеристиками. этот сорт был разработан в научно-исследовательском институте хмеля, расположенном в немецком городе халле, и сегодня он является вторым по величине производства альфа-сортом в своем регионе. халлертаур магнум, также известный просто как магнум, широко используется в качестве основной компоненты для достижения горечи во многих рецептах пива. в отличие от некоторых других сортов, этот хмель не обладает ярким ароматом. некоторые могут считать это его недостатком, но на самом деле это преимущество, которое позволяет использовать его в начале процесса кипячения, благодаря высокому содержанию альфа-кислоты, которое составляет от 12,0% до 14,0%. благодаря своей высокой концентрации альфа-кислоты, халлертаур магнум придает пиву сильную горечь, которая может быть идеально сбалансирована с другими ингредиентами, такими как солод и дрожжи. это делает его популярным выбором для различных стилей пива, включая ipa (india pale ale), apa (american pale ale) и другие, где горечь играет важную роль. хмель магнум обладает хорошей хранящейся стабильностью, что делает его удобным для использования в коммерческих пивоваренных процессах. его способность сохранять свои качества на протяжении длительного времени позволяет пивоварням производить стабильные и качественные пивные напитки.	https://бир.рф/shop/123/desc/khmel-magnum-magnum-germanija-50-g	11.0-16.0 %	5.0-7.0 %	21.0-29.0 %	1.6-2.6
478	hop	магнум / magnum	ign	германия	хмель в гранулах горький	beer.rf	100.0	г	182.0	rub	горький сорт немецкого хмеля, который, как правило используется для придания фундаментальной горечи в немецких стилях пива. урожай: 2025 г | альфа кислота: 13.1 % горький сорт немецкого хмеля, который, как правило используется для придания фундаментальной горечи в немецких стилях пива. урожай: 2025 г | альфа кислота: 13.1 %	халлертаур магнум (hallertaur magnum) - это хмель, который привлекает внимание своими уникальными характеристиками. этот сорт был разработан в научно-исследовательском институте хмеля, расположенном в немецком городе халле, и сегодня он является вторым по величине производства альфа-сортом в своем регионе. халлертаур магнум, также известный просто как магнум, широко используется в качестве основной компоненты для достижения горечи во многих рецептах пива. в отличие от некоторых других сортов, этот хмель не обладает ярким ароматом. некоторые могут считать это его недостатком, но на самом деле это преимущество, которое позволяет использовать его в начале процесса кипячения, благодаря высокому содержанию альфа-кислоты, которое составляет от 12,0% до 14,0%. благодаря своей высокой концентрации альфа-кислоты, халлертаур магнум придает пиву сильную горечь, которая может быть идеально сбалансирована с другими ингредиентами, такими как солод и дрожжи. это делает его популярным выбором для различных стилей пива, включая ipa (india pale ale), apa (american pale ale) и другие, где горечь играет важную роль. хмель магнум обладает хорошей хранящейся стабильностью, что делает его удобным для использования в коммерческих пивоваренных процессах. его способность сохранять свои качества на протяжении длительного времени позволяет пивоварням производить стабильные и качественные пивные напитки.	https://бир.рф/shop/122/desc/khmel-magnum-magnum-germanija-100-g	11.0-16.0 %	5.0-7.0 %	21.0-29.0 %	1.6-2.6
480	hop	коламбус / columbus	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	500.0	г	1521.45	rub	хмель имеет три названия columbus, tomahawk, zeus. но так как трио хмелей обладает одинаковыми свойствами их объединили в название ctz. хмель используют в основном для придания горечи, и обладает умеренным ароматом специй и трав. урожай 2024 | альфа 14,1% хмель имеет три названия columbus, tomahawk, zeus. но так как трио хмелей обладает одинаковыми свойствами их объединили в название ctz. хмель используют в основном для придания горечи, и обладает умеренным ароматом специй и трав. урожай 2024 | альфа 14,1%	хмель колумбус (columbus) - это уникальный сорт хмеля, который также известен под другими названиями, такими как ctz, томагавк (tomahawk) и зевс (zeus). возникают споры относительно авторских прав и патентов на этот сорт между компанией якима чиф и чарльзом циммерманом, который первым вывел этот сорт. в результате этих споров было создано совместное предприятие под названием husa-cez между чарльзом и hopunion сша. хмель колумбус обладает высоким содержанием альфа-кислот, составляющим от 14% до 16%. благодаря этому он идеально подходит для создания горькой основы в различных стилях пива, таких как пэйл эль, индийский пэйл эль, стауты и имперские стили пива. обычно этот сорт используется для позднего кипячения или сухого охмеления из-за его травянистого и земляного характера. аромат хмеля колумбус приятный, и в свежей партии можно обнаружить нотки цитрусовых. это добавляет особый характер и аромат пиву, делая его более интересным для пивоваров и любителей крафтового пива.	https://бир.рф/shop/214/desc/khmel-kolambus-columbus-ctz-ssha-500-g	15.0-17.8 %	4.9-5.7 %	26.0-28.0 %	1.6-4.6
481	hop	коламбус / columbus	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	50.0	г	209.72	rub	хмель имеет три названия columbus, tomahawk, zeus. но так как трио хмелей обладает одинаковыми свойствами их объединили в название ctz. хмель используют в основном для придания горечи, и обладает умеренным ароматом специй и трав. урожай 2024 | альфа 14,1% хмель имеет три названия columbus, tomahawk, zeus. но так как трио хмелей обладает одинаковыми свойствами их объединили в название ctz. хмель используют в основном для придания горечи, и обладает умеренным ароматом специй и трав. урожай 2024 | альфа 14,1%	хмель колумбус (columbus) - это уникальный сорт хмеля, который также известен под другими названиями, такими как ctz, томагавк (tomahawk) и зевс (zeus). возникают споры относительно авторских прав и патентов на этот сорт между компанией якима чиф и чарльзом циммерманом, который первым вывел этот сорт. в результате этих споров было создано совместное предприятие под названием husa-cez между чарльзом и hopunion сша. хмель колумбус обладает высоким содержанием альфа-кислот, составляющим от 14% до 16%. благодаря этому он идеально подходит для создания горькой основы в различных стилях пива, таких как пэйл эль, индийский пэйл эль, стауты и имперские стили пива. обычно этот сорт используется для позднего кипячения или сухого охмеления из-за его травянистого и земляного характера. аромат хмеля колумбус приятный, и в свежей партии можно обнаружить нотки цитрусовых. это добавляет особый характер и аромат пиву, делая его более интересным для пивоваров и любителей крафтового пива.	https://бир.рф/shop/216/desc/khmel-kolambus-columbus-ctz-ssha-50-g	15.0-17.8 %	4.9-5.7 %	26.0-28.0 %	1.6-4.6
484	hop	коламбус / columbus	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	100.0	г	363.8	rub	хмель имеет три названия columbus, tomahawk, zeus. но так как трио хмелей обладает одинаковыми свойствами их объединили в название ctz. хмель используют в основном для придания горечи, и обладает умеренным ароматом специй и трав. урожай 2024 | альфа 14,1% хмель имеет три названия columbus, tomahawk, zeus. но так как трио хмелей обладает одинаковыми свойствами их объединили в название ctz. хмель используют в основном для придания горечи, и обладает умеренным ароматом специй и трав. урожай 2024 | альфа 14,1%	хмель колумбус (columbus) - это уникальный сорт хмеля, который также известен под другими названиями, такими как ctz, томагавк (tomahawk) и зевс (zeus). возникают споры относительно авторских прав и патентов на этот сорт между компанией якима чиф и чарльзом циммерманом, который первым вывел этот сорт. в результате этих споров было создано совместное предприятие под названием husa-cez между чарльзом и hopunion сша. хмель колумбус обладает высоким содержанием альфа-кислот, составляющим от 14% до 16%. благодаря этому он идеально подходит для создания горькой основы в различных стилях пива, таких как пэйл эль, индийский пэйл эль, стауты и имперские стили пива. обычно этот сорт используется для позднего кипячения или сухого охмеления из-за его травянистого и земляного характера. аромат хмеля колумбус приятный, и в свежей партии можно обнаружить нотки цитрусовых. это добавляет особый характер и аромат пиву, делая его более интересным для пивоваров и любителей крафтового пива.	https://бир.рф/shop/215/desc/khmel-kolambus-columbus-ctz-ssha-100-g	15.0-17.8 %	4.9-5.7 %	26.0-28.0 %	1.6-4.6
485	hop	кашемир / cashmere	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	500.0	г	1634.0	rub	отличный универсальный хмель, демонстрирующий ароматы лимона, лайма и дыни, а также гладкую горечь с тонким травяным букетом. урожай 2024 | альфа кислота 8,2% отличный универсальный хмель, демонстрирующий ароматы лимона, лайма и дыни, а также гладкую горечь с тонким травяным букетом. урожай 2024 | альфа кислота 8,2%	хмель кашемир (cashmere) - это настоящее сокровище мира пивоварения, разработанное университетом вашингтонского штата и представленное в 2013 году. этот универсальный хмель обладает уникальным букетом ароматов, включающим лимон, лайм и дыню, а также гладкую горечь с тонким травяным оттенком. хмель кашемир (cashmere) - это настоящее сокровище мира пивоварения, разработанное университетом вашингтонского штата и представленное в 2013 году. этот универсальный хмель обладает уникальным букетом ароматов, включающим лимон, лайм и дыню, а также гладкую горечь с тонким травяным оттенком. кашемир является результатом скрещивания двух популярных сортов хмеля - каскада и нортен бревера. благодаря этому комбинированному генетическому наследию, хмель кашемир обладает выше среднего содержанием альфа-кислот, чем его предшественники. это делает его отличным выбором для пивоваров, которые стремятся достичь более выраженной горечи и ароматических характеристик в своих пивных напитках. кашемир может быть использован в различных стилях пива благодаря своей универсальности. он идеально подходит для американских эль и ipa, придавая им освежающий цитрусовый аромат и нотки тропических фруктов. благодаря своей гладкой горечи, этот хмель также может быть использован в пивах с более низким содержанием алкоголя, чтобы добавить баланс и аромат.	https://бир.рф/shop/1284/desc/khmel-kashemir-cashmere-ssha-500-g	7.7-9.2 %	3.3-7.1 %	22.0-24.0 %	1.2-1.4
487	hop	кашемир / cashmere	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	50.0	г	227.0	rub	отличный универсальный хмель, демонстрирующий ароматы лимона, лайма и дыни, а также гладкую горечь с тонким травяным букетом. урожай 2025 | альфа кислота 8% отличный универсальный хмель, демонстрирующий ароматы лимона, лайма и дыни, а также гладкую горечь с тонким травяным букетом. урожай 2025 | альфа кислота 8%	хмель кашемир (cashmere) - это настоящее сокровище мира пивоварения, разработанное университетом вашингтонского штата и представленное в 2013 году. этот универсальный хмель обладает уникальным букетом ароматов, включающим лимон, лайм и дыню, а также гладкую горечь с тонким травяным оттенком. хмель кашемир (cashmere) - это настоящее сокровище мира пивоварения, разработанное университетом вашингтонского штата и представленное в 2013 году. этот универсальный хмель обладает уникальным букетом ароматов, включающим лимон, лайм и дыню, а также гладкую горечь с тонким травяным оттенком. кашемир является результатом скрещивания двух популярных сортов хмеля - каскада и нортен бревера. благодаря этому комбинированному генетическому наследию, хмель кашемир обладает выше среднего содержанием альфа-кислот, чем его предшественники. это делает его отличным выбором для пивоваров, которые стремятся достичь более выраженной горечи и ароматических характеристик в своих пивных напитках. кашемир может быть использован в различных стилях пива благодаря своей универсальности. он идеально подходит для американских эль и ipa, придавая им освежающий цитрусовый аромат и нотки тропических фруктов. благодаря своей гладкой горечи, этот хмель также может быть использован в пивах с более низким содержанием алкоголя, чтобы добавить баланс и аромат.	https://бир.рф/shop/195/desc/khmel-kashemir-cashmere-ssha-50-g	7.7-9.2 %	3.3-7.1 %	22.0-24.0 %	1.2-1.4
490	hop	кашемир / cashmere	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	100.0	г	385.0	rub	отличный универсальный хмель, демонстрирующий ароматы лимона, лайма и дыни, а также гладкую горечь с тонким травяным букетом. урожай 2025 | альфа кислота 8% отличный универсальный хмель, демонстрирующий ароматы лимона, лайма и дыни, а также гладкую горечь с тонким травяным букетом. урожай 2025 | альфа кислота 8%	хмель кашемир (cashmere) - это настоящее сокровище мира пивоварения, разработанное университетом вашингтонского штата и представленное в 2013 году. этот универсальный хмель обладает уникальным букетом ароматов, включающим лимон, лайм и дыню, а также гладкую горечь с тонким травяным оттенком. хмель кашемир (cashmere) - это настоящее сокровище мира пивоварения, разработанное университетом вашингтонского штата и представленное в 2013 году. этот универсальный хмель обладает уникальным букетом ароматов, включающим лимон, лайм и дыню, а также гладкую горечь с тонким травяным оттенком. кашемир является результатом скрещивания двух популярных сортов хмеля - каскада и нортен бревера. благодаря этому комбинированному генетическому наследию, хмель кашемир обладает выше среднего содержанием альфа-кислот, чем его предшественники. это делает его отличным выбором для пивоваров, которые стремятся достичь более выраженной горечи и ароматических характеристик в своих пивных напитках. кашемир может быть использован в различных стилях пива благодаря своей универсальности. он идеально подходит для американских эль и ipa, придавая им освежающий цитрусовый аромат и нотки тропических фруктов. благодаря своей гладкой горечи, этот хмель также может быть использован в пиве с более низким содержанием алкоголя, чтобы добавить баланс и аромат.	https://бир.рф/shop/194/desc/khmel-kashemir-cashmere-ssha-100-g	7.7-9.2 %	3.3-7.1 %	22.0-24.0 %	1.2-1.4
492	hop	каскад / cascade	john i. haas	сша	хмель в гранулах универсальный	beer.rf	500.0	г	1231.0	rub	этот хмель является основоположником крафтовой революции зародившейся в сша в начале 1970-х годов. очень популярный хмель во всем мире, который можно использовать как для горечи, так и для аромата с нотками цитруса и грейпфрута. урожай 2025 | альфа 6,2 % этот хмель является основоположником крафтовой революции зародившейся в сша в начале 1970-х годов. очень популярный хмель во всем мире, который можно использовать как для горечи, так и для аромата с нотками цитруса и грейпфрута. урожай 2025 | альфа 6,2 %	хмель каскад (cascade) - это настоящая находка для пивоваров, особенно тех, кто предпочитает стиль американский пэйл эль (apa). этот хмель, с отличным вкусом и ароматом, завоевал популярность в пивоваренной промышленности и стал неотъемлемой частью многих коммерческих сортов пива в сша. история каскадного хмеля началась в 1972 году, и с тех пор он стал одним из самых популярных и доступных для изготовления домашнего и коммерческого пива хмелей в сша. важно отметить, что хмель каскад появился на свет в сша благодаря скрещиванию английского хмеля фаггл с российской серебрянкой. это делает его поистине интернациональным сортом хмеля, а его рассады легко доступны, что делает его привлекательным выбором для пивоваров всех уровней. каскад выращивается в различных частях света, включая новую зеландию, аргентину, германию и украину. но его название связано с каскадным хребтом гор, простирающимся от северной калифорнии до британской колумбии в канаде. этот хребет вдохновил создателей хмеля на его название, и оно стало символом его уникальности и качества. каскад обладает умеренным содержанием альфа-кислот, в диапазоне от 4,5% до 7%. но его настоящая сила проявляется в аромате. американская версия этого хмеля источает специфический аромат зеленого ботанического сада, который некоторые сравнивают с цитрусовыми или грейпфрутовыми нотками. это связано с высоким содержанием мирцена, который придает пиву особый характер. кроме того, хмель содержит фарнезен, используемый в парфюмерной и пищевой промышленности, что добавляет еще больше интересных ароматических нюансов.	https://бир.рф/shop/223/desc/khmel-kaskad-cascade-ssha-500-g	4.5-7.0 %	4.5-7.0 %	33.0-40.0 %	0.7-1.5
494	hop	каскад / cascade	john i. haas	сша	хмель в гранулах универсальный	beer.rf	100.0	г	292.0	rub	этот хмель является основоположником крафтовой революции зародившейся в сша в начале 1970-х годов. очень популярный хмель во всем мире, который можно использовать как для горечи, так и для аромата с нотками цитруса и грейпфрута. урожай 2025 | альфа 6,2 % этот хмель является основоположником крафтовой революции зародившейся в сша в начале 1970-х годов. очень популярный хмель во всем мире, который можно использовать как для горечи, так и для аромата с нотками цитруса и грейпфрута. урожай 2025 | альфа 6,2 %	хмель каскад (cascade) - это настоящая находка для пивоваров, особенно тех, кто предпочитает стиль американский пэйл эль (apa). этот хмель, с отличным вкусом и ароматом, завоевал популярность в пивоваренной промышленности и стал неотъемлемой частью многих коммерческих сортов пива в сша. история каскадного хмеля началась в 1972 году, и с тех пор он стал одним из самых популярных и доступных для изготовления домашнего и коммерческого пива хмелей в сша. важно отметить, что хмель каскад появился на свет в сша благодаря скрещиванию английского хмеля фаггл с российской серебрянкой. это делает его поистине интернациональным сортом хмеля, а его рассады легко доступны, что делает его привлекательным выбором для пивоваров всех уровней. каскад выращивается в различных частях света, включая новую зеландию, аргентину, германию и украину. но его название связано с каскадным хребтом гор, простирающимся от северной калифорнии до британской колумбии в канаде. этот хребет вдохновил создателей хмеля на его название, и оно стало символом его уникальности и качества. каскад обладает умеренным содержанием альфа-кислот, в диапазоне от 4,5% до 7%. но его настоящая сила проявляется в аромате. американская версия этого хмеля источает специфический аромат зеленого ботанического сада, который некоторые сравнивают с цитрусовыми или грейпфрутовыми нотками. это связано с высоким содержанием мирцена, который придает пиву особый характер. кроме того, хмель содержит фарнезен, используемый в парфюмерной и пищевой промышленности, что добавляет еще больше интересных ароматических нюансов.	https://бир.рф/shop/224/desc/khmel-kaskad-cascade-ssha-100-g	4.5-7.0 %	4.5-7.0 %	33.0-40.0 %	0.7-1.5
496	hop	перле / perle	грейнруc	россия	хмель в гранулах универсальный	beer.rf	500.0	г	699.0	rub	легендарная немецкая классика выращенная на юге россии, включающая в себя пряный аромат с нежными цветочными нотами. хмель отлично сочетается с различными немецкими сортами пива - от легких лагеров до насыщенных элей. альфа 6 % | урожай 2024 г легендарная немецкая классика выращенная на юге россии, включающая в себя пряный аромат с нежными цветочными нотами. хмель отлично сочетается с различными немецкими сортами пива - от легких лагеров до насыщенных элей. альфа 6 % | урожай 2024 г		https://бир.рф/shop/1796/desc/khmel-perle-perle-rossija-500-g	6.0 %			
498	hop	перле / perle	грейнруc	россия	хмель в гранулах универсальный	beer.rf	50.0	г	99.0	rub	легендарная немецкая классика выращенная на юге россии, включающая в себя пряный аромат с нежными цветочными нотами. хмель отлично сочетается с различными немецкими сортами пива - от легких лагеров до насыщенных элей. альфа 6 % | урожай 2024 г легендарная немецкая классика выращенная на юге россии, включающая в себя пряный аромат с нежными цветочными нотами. хмель отлично сочетается с различными немецкими сортами пива - от легких лагеров до насыщенных элей. альфа 6 % | урожай 2024 г		https://бир.рф/shop/1794/desc/khmel-perle-perle-rossija-50-g	6.0 %			
500	hop	перле / perle	грейнруc	россия	хмель в гранулах универсальный	beer.rf	100.0	г	169.0	rub	легендарная немецкая классика выращенная на юге россии, включающая в себя пряный аромат с нежными цветочными нотами. хмель отлично сочетается с различными немецкими сортами пива - от легких лагеров до насыщенных элей. альфа 6 % | урожай 2024 г легендарная немецкая классика выращенная на юге россии, включающая в себя пряный аромат с нежными цветочными нотами. хмель отлично сочетается с различными немецкими сортами пива - от легких лагеров до насыщенных элей. альфа 6 % | урожай 2024 г		https://бир.рф/shop/1795/desc/khmel-perle-perle-rossija-100-g	6.0 %			
501	hop	перле / perle	ign	германия	хмель в гранулах универсальный	beer.rf	500.0	г	835.0	rub	горько-ароматический хмель с высоким содержанием альфа кислоты и высоким содержанием ароматических составляющих, придающих пиву чистый, тонкий и благородный хмелевой аромат. урожай 2025 г | альфа-кислота 6,2 % горько-ароматический хмель с высоким содержанием альфа кислоты и высоким содержанием ароматических составляющих, придающих пиву чистый, тонкий и благородный хмелевой аромат. урожай 2025 г | альфа-кислота 6,2 %	хмель перле (perle) - это уникальный сорт хмеля, выведенный в халле нии хмеля в германии в 1978 году. он стал одним из самых популярных сортов, выращиваемых в этой стране, и широко используется в коммерческом пивоварении по всему региону. однако, несмотря на свою популярность в германии, хмель перле также выращивается в соединенных штатах. основное преимущество этого сорта хмеля заключается в его универсальности и устойчивости к различным болезням, мучнистой росе и увяданию. это делает его привлекательным для пивоваров, которые ищут надежный и качественный ингредиент для своего пива. хмель перле обладает альфа-кислотами в диапазоне от 5,9% до 9,5%, что является достаточно высоким показателем для этого региона. вкус и аромат хмеля перле можно описать как пряный и умеренный, что придает пиву особый характер. многие пивовары сравнивают его с другим популярным сортом хмеля - халлертаур миттельфрю. однако, стоит отметить, что содержание когумулона в хмеле перле относительно низкое, что является типичным для большинства сортов хмеля из этого региона.	https://бир.рф/shop/141/desc/khmel-perle-perle-germanija-500-g	6.0-10.0 %	2.5-5.0 %	28.0-32.0 %	0.8-1.3
