	item_type	clean_name	brand	country	subtype	source_domain	weight	units	price	currency	description	full_description	url	color	extract	protein	share	kolbach	diastatic
42	malt	castle malting arome	castle malting	бельгия		grainrus	5.0	кг	960.0	rub	солод ячменный светлый импортный, arome, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-importnyy-arome-castle-malting-meshok-5-kg/	95.0-105.0 ebc					
44	malt	castle malting pale ale	castle malting	бельгия		grainrus	5.0	кг	903.0	rub	солод ячменный светлый импортный, pale ale, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-importnyy-pale-ale-castle-malting-meshok-5-kg/	7.0-10.0 ebc					
46	malt	castle malting pilsen	castle malting	бельгия		grainrus	5.0	кг	886.0	rub	солод ячменный светлый импортный, pilsner malt, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-importnyy-pilsner-malt-castle-malting-meshok-5-kg/	3.0-4.0 ebc					
48	malt	castle malting vienna	castle malting	бельгия		grainrus	5.0	кг	897.0	rub	солод ячменный светлый импортный, vienna malt, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-importnyy-vienna-malt-castle-malting-meshok-5-kg/	4.0-7.0 ebc					
49	malt	карамельный castle malting cara blond	castle malting	бельгия		grainrus	5.0	кг	1012.0	rub	солод ячменный специальный импортный, cara blond, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-cara-blond-castle-malting-meshok-5-kg/	17.0-24.0 ebc					
51	malt	карамельный castle malting cara clair	castle malting	бельгия		grainrus	5.0	кг	1006.0	rub	солод ячменный специальный импортный, cara clair, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-cara-clair-castle-malting-meshok-5-kg/	9.0 ebc					
53	malt	карамельный castle malting cara gold	castle malting	бельгия		grainrus	5.0	кг	1014.0	rub	солод ячменный специальный импортный, cara gold, 120, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-cara-gold-120-castle-malting-meshok-5-kg/	110.0-130.0 ebc					
56	malt	карамельный castle malting cara terra	castle malting	бельгия		grainrus	5.0	кг	1069.0	rub	солод ячменный специальный импортный, cara terra, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-cara-terra-castle-malting-meshok-5-kg/	170.0-220.0 ebc					
57	malt	castle malting special b	castle malting	бельгия		grainrus	5.0	кг	1089.0	rub	солод ячменный специальный импортный, special b, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-special-b-castle-malting-meshok-5-kg/	260.0-320.0 ebc					
59	malt	castle malting chocolat	castle malting	бельгия		grainrus	5.0	кг	1069.0	rub	солод ячменный специальный импортный, chocolate malt, 900, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-chocolate-malt-900-castle-malting-meshok-5-kg/	900.0-1100.0 ebc					
62	malt	курский ржаной неферментированный	органик фуд			grainrus	5.0	кг	506.0	rub	солод ржаной специальный российский, неферментированный, ржаной, органик фуд, мешок 5 кг		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-nefermentirovannyy-rzhanoy-organik-fud-meshok-5-kg/						
63	malt	castle malting cafe	castle malting	бельгия		grainrus	5.0	кг	1049.0	rub	солод ячменный специальный импортный, cafe, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-cafe-castle-malting-meshok-5-kg/	420.0-520.0 ebc					
65	malt	castle malting abbey	castle malting	бельгия		grainrus	5.0	кг	949.0	rub	солод ячменный светлый импортный, abbey, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-importnyy-abbey-castle-malting-meshok-5-kg/	41.0-49.0 ebc					
67	malt	castle malting crystal	castle malting	бельгия		grainrus	5.0	кг	1000.0	rub	солод ячменный специальный импортный, crystal, 150, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-crystal-150-castle-malting-meshok-5-kg/	140.0-160.0 ebc					
69	malt	castle malting melano	castle malting	бельгия		grainrus	5.0	кг	955.0	rub	солод ячменный специальный импортный, melano chateu malt, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-melano-chateu-malt-castle-malting-meshok-5-kg/	36.0-44.0 ebc					
70	malt	курский овсяный голозерный	курский солод	россия		grainrus	25.0	кг	2699.0	rub	солод овсяный специальный российский, овсяный голозерный, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/ovsyanyy-golozernyy-solod-25/	15.0 ebc					
72	malt	курский пилзнер	курский солод	россия		grainrus	5.0	кг	564.0	rub	солод ячменный светлый российский, дробленый, светлый пилснер, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/pilzner_10/	3.5-4.5 ebc					
74	malt	курский пэйл эль	курский солод	россия		grainrus	5.0	кг	531.0	rub	солод ячменный светлый российский, пэйл эль, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/peyl-el_6/	5.5-6.5 ebc					
76	malt	курский карамельный 50	курский солод	россия		grainrus	5.0	кг	637.0	rub	солод ячменный специальный российский, дробленый, карамельный, 50, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/karamelnyy-50-molotyy_1/	40.0-60.0 ebc					
78	malt	курский карамельный 150	курский солод	россия		grainrus	5.0	кг	647.0	rub	солод ячменный специальный российский, дробленый, карамельный, 150, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/karamelnyy-150-molotyy/	140.0-160.0 ebc					
79	malt	курский карамельный 250	курский солод	россия		grainrus	5.0	кг	724.0	rub	солод ячменный специальный российский, дробленый, карамельный, 250, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/karamelnyy-250-molotyy/	230.0-270.0 ebc					
81	malt	курский шоколадный 900	курский солод	россия		grainrus	5.0	кг	857.0	rub	солод ячменный специальный российский, дробленый, шоколадный, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/shokoladnyy-900-molotyy/	800.0-1000.0 ebc					
83	malt	курский жжёный 1400	курский солод	россия		grainrus	5.0	кг	814.0	rub	солод ячменный специальный российский, жженый, 1400, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/zhzhyenyy-1400-molotyy/	1300.0-1500.0 ebc					
86	malt	курский карамельный 50	курский солод	россия		grainrus	1.0	кг	145.0	rub	солод ячменный специальный российский, дробленый, карамельный, 50, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-50-molotyy/	40.0-60.0 ebc					
88	malt	курский карамельный 150	курский солод	россия		grainrus	1.0	кг	146.0	rub	солод ячменный специальный российский, дробленый, карамельный, 150, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-150-molotyy_1/	140.0-160.0 ebc					
89	malt	курский карамельный 50	курский солод	россия		grainrus	5.0	кг	594.0	rub	солод ячменный специальный российский, карамельный, 50, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/karamelnyy-50_3/	40.0-60.0 ebc					
92	malt	курский карамельный 50	курский солод	россия		grainrus	1.0	кг	136.0	rub	солод ячменный специальный российский, карамельный, 50, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-50_4/	40.0-60.0 ebc					
93	malt	курский карамельный 100	курский солод	россия		grainrus	5.0	кг	594.0	rub	солод ячменный специальный российский, карамельный, 100, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/karamelnyy-100_2/	90.0-110.0 ebc					
96	malt	курский карамельный 100	курский солод	россия		grainrus	1.0	кг	136.0	rub	солод ячменный специальный российский, карамельный, 100, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-100_3/	90.0-110.0 ebc					
97	malt	курский карамельный 150	курский солод	россия		grainrus	1.0	кг	136.0	rub	солод ячменный специальный российский, карамельный, 150, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-150_2/	140.0-160.0 ebc					
100	malt	курский карамельный 200	курский солод	россия		grainrus	1.0	кг	136.0	rub	солод ячменный специальный российский, карамельный, 200, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-200_3/	190.0-210.0 ebc					
102	malt	курский карамельный 250	курский солод	россия		grainrus	1.0	кг	136.0	rub	солод ячменный специальный российский, карамельный, 250, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-250_2/	230.0-270.0 ebc					
103	malt	курский карамельный 300	курский солод	россия		grainrus	1.0	кг	136.0	rub	солод ячменный специальный российский, карамельный, 300, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-300_2/	280.0-320.0 ebc					
105	malt	курский карамельный 300	курский солод	россия		grainrus	5.0	кг	604.0	rub	солод ячменный специальный российский, карамельный, 300, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/karamelnyy-300_3/	280.0-320.0 ebc					
107	malt	курский шоколадный 900	курский солод	россия		grainrus	1.0	кг	182.0	rub	солод ячменный специальный российский, шоколадный, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/shokoladnyy-900_2/	800.0-1000.0 ebc					
108	malt	курский гречишный	курский солод	россия		grainrus	1.0	кг	196.0	rub	солод гречишный специальный российский, гречишный, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/grechishnyy_1/	4.0-15.0 ebc					
110	malt	курский карамельный 100	курский солод	россия		grainrus	1.0	кг	145.0	rub	солод ячменный специальный российский, дробленый, карамельный, 100, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-100-molotyy_1/	90.0-110.0 ebc					
112	malt	курский карамельный 250	курский солод	россия		grainrus	1.0	кг	146.0	rub	солод ячменный специальный российский, дробленый, карамельный, 250, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-250-molotyy_1/	230.0-270.0 ebc					
114	malt	курский карамельный 300	курский солод	россия		grainrus	1.0	кг	146.0	rub	солод ячменный специальный российский, дробленый, карамельный, 300, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-300-molotyy/	280.0-320.0 ebc					
116	malt	курский шоколадный 900	курский солод	россия		grainrus	1.0	кг	193.0	rub	солод ячменный специальный российский, дробленый, шоколадный, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/shokoladnyy-900-molotyy_1/	800.0-1000.0 ebc					
118	malt	курский жжёный 1400	курский солод	россия		grainrus	1.0	кг	181.0	rub	солод ячменный специальный российский, дробленый, жженый, 1400, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/zhzhyenyy-1400-molotyy_1/	1300.0-1500.0 ebc					
120	malt	курский жжёный 1400	курский солод	россия		grainrus	5.0	кг	857.0	rub	солод ячменный специальный российский, дробленый, жженый, 1400, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/zhzhyenyy-1400_1/	1300.0-1500.0 ebc					
123	malt	курский жжёный 1400	курский солод			grainrus	1.0	кг		rub	солод ячменный специальный российский, жженый, 1400, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/zhzhyenyy-1400_2/	1300.0-1500.0 ebc					
124	malt	курский карамельный 200	курский солод	россия		grainrus	1.0	кг	146.0	rub	солод ячменный специальный российский, дробленый, карамельный, 200, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/karamelnyy-200-molotyy_1/	190.0-210.0 ebc					
126	malt	курский шоколадный 900	курский солод	россия		grainrus	5.0	кг	814.0	rub	солод ячменный специальный российский, шоколадный, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/shokoladnyy-900_3/	800.0-1000.0 ebc					
128	malt	курский гречишный	курский солод	россия		grainrus	5.0	кг	868.0	rub	солод гречишный специальный российский, гречишный, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/grechishnyy_2/	4.0-15.0 ebc					
130	malt	курский карамельный 150	курский солод	россия		grainrus	25.0	кг	2635.0	rub	солод ячменный специальный российский, карамельный, 150, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/karamelnyy-150/	140.0-160.0 ebc					
132	malt	курский карамельный 200	курский солод	россия		grainrus	25.0	кг	2635.0	rub	солод ячменный специальный российский, карамельный, 200, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/karamelnyy-200/	190.0-210.0 ebc					
134	malt	курский карамельный 250	курский солод	россия		grainrus	25.0	кг	2635.0	rub	солод ячменный специальный российский, карамельный, 250, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/karamelnyy-250_1/	230.0-270.0 ebc					
137	malt	курский карамельный 300	курский солод	россия		grainrus	25.0	кг	2635.0	rub	солод ячменный специальный российский, карамельный, 300, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/karamelnyy-300/	280.0-320.0 ebc					
139	malt	курский жжёный 1400	курский солод	россия		grainrus	25.0	кг	3549.0	rub	солод ячменный специальный российский, жженый, 1400, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/zhzhyenyy-1400/	1300.0-1500.0 ebc					
141	malt	курский гречишный	курский солод	россия		grainrus	25.0	кг	3783.0	rub	солод гречишный специальный российский, гречишный, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/grechishnyy/	4.0-15.0 ebc					
142	malt	карамельный castle malting cara blond	castle malting	бельгия		grainrus	25.0	кг	4817.0	rub	солод ячменный специальный импортный, cara blond, castle malting, мешок 25 кг		https://malt.ru/catalog/solod/kara-blond/	17.0-24.0 ebc					
144	malt	карамельный castle malting cara ruby	castle malting	бельгия		grainrus	25.0	кг	4817.0	rub	солод ячменный специальный импортный, cara ruby, castle malting, мешок 25 кг		https://malt.ru/catalog/solod/kara-rubi/	45.0-55.0 ebc					
146	malt	карамельный castle malting cara clair	castle malting	бельгия		grainrus	25.0	кг	4817.0	rub	солод ячменный специальный импортный, cara clair, castle malting, мешок 25 кг		https://malt.ru/catalog/solod/kara-kler/	9.0 ebc					
148	malt	castle malting munich	castle malting	бельгия		grainrus	25.0	кг	4451.0	rub	солод ячменный специальный импортный, munich malt, castle malting, мешок 25 кг		https://malt.ru/catalog/solod/myunkhenskiy/	21.0-28.0 ebc					
150	malt	курский карамельный 20	курский солод	россия		grainrus	25.0	кг	2593.0	rub	солод ячменный специальный российский, карамельный, 20, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/karamelnyy-20/	15.0-25.0 ebc					
152	malt	курский пилзнер	курский солод	россия		grainrus	25.0	кг	2274.0	rub	солод ячменный светлый российский, светлый, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/pilzner_1/	3.5-4.5 ebc					
154	malt	castle malting special b	castle malting	бельгия		grainrus	25.0	кг	5184.0	rub	солод ячменный специальный импортный, special b, castle malting, мешок 25 кг		https://malt.ru/catalog/solod/speshl-bi/	260.0-320.0 ebc					
155	malt	castle malting pilsen	castle malting	бельгия		grainrus	25.0	кг	4219.0	rub	солод ячменный светлый импортный, pilsner malt, castle malting, мешок 25 кг		https://malt.ru/catalog/solod/pilzner_5/	3.0-4.0 ebc					
156	malt	шато дистиллинг / distilling	castle malting	бельгия	солод вискарный	beer.rf	25.0	кг	5710.95	rub	солод предназначен для производства виски и других крепких спиртных напитков премиального качества. дает высокую бродильную активность, соответствующую ферментативность и уровень растворимого азота. цвет: 2,5-4 ebc солод предназначен для производства виски и других крепких спиртных напитков премиального качества. дает высокую бродильную активность, соответствующую ферментативность и уровень растворимого азота. цвет: 2,5-4 ebc	солод шато дистиллинг («дистилляционный») предназначен для создания премиальных виски и других крепких алкогольных напитков. он обладает высокой бродильной активностью, отвечающей требуемому уровню ферментации и растворимого азота. цвет солода составляет 2,5-4 ebc. в процессе его производства ячмень подвергается дополнительному замачиванию, чтобы достичь повышенной влажности зерна в диапазоне 44-46%. затем солод проращивается в течение пяти дней при температуре 12°c-16°c. после этого происходит обсушка при температуре 50°-60°c, с последующим повышением до 70°-75°c. свойства солода шато дистиллинг делают его идеальным базовым компонентом для создания виски высшего качества. он также может использоваться в качестве основы для приготовления браги с содержанием до 100%.	https://бир.рф/shop/1099/desc/solod-shato-distilling-distilling-castle-malting-25-kg	2.5-4.0 ebc	80.0 %			35.0-40.0	
157	malt	курский шоколадный 900	курский солод	россия		grainrus	25.0	кг	3549.0	rub	солод ячменный специальный российский, шоколадный, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/shokoladnyy-900/	800.0-1000.0 ebc					
158	malt	шато дистиллинг / distilling	castle malting	бельгия	солод вискарный	beer.rf	1.0	кг	266.0	rub	солод предназначен для производства виски и других крепких спиртных напитков премиального качества. дает высокую бродильную активность, соответствующую ферментативность и уровень растворимого азота. цвет: 2,5-4 ebc солод предназначен для производства виски и других крепких спиртных напитков премиального качества. дает высокую бродильную активность, соответствующую ферментативность и уровень растворимого азота. цвет: 2,5-4 ebc	солод шато дистиллинг («дистилляционный») предназначен для создания премиальных виски и других крепких алкогольных напитков. он обладает высокой бродильной активностью, отвечающей требуемому уровню ферментации и растворимого азота. цвет солода составляет 2,5-4 ebc. в процессе его производства ячмень подвергается дополнительному замачиванию, чтобы достичь повышенной влажности зерна в диапазоне 44-46%. затем солод проращивается в течение пяти дней при температуре 12°c-16°c. после этого происходит обсушка при температуре 50°-60°c, с последующим повышением до 70°-75°c. свойства солода шато дистиллинг делают его идеальным базовым компонентом для создания виски высшего качества. он также может использоваться в качестве основы для приготовления браги с содержанием до 100%.	https://бир.рф/shop/72/desc/solod-shato-distilling-distilling-castle-malting-1-kg	2.5-4.0 ebc	80.0 %			35.0-40.0	
